id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,metode_kb,jenis_kb,jumlah_peserta,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,MKJP,IMPLAN,25291,ORANG,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,MKJP,IUD,33908,ORANG,2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,MKJP,MOP,1750,ORANG,2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,MKJP,MOW,12241,ORANG,2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON MKJP,KONDOM,6954,ORANG,2018
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON MKJP,LAINNYA,0,ORANG,2018
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON MKJP,OBAT VAGINA,0,ORANG,2018
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON MKJP,PIL,144287,ORANG,2018
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,NON MKJP,SUNTIK,478630,ORANG,2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MKJP,IMPLAN,29959,ORANG,2018
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MKJP,IUD,16992,ORANG,2018
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MKJP,MOP,1186,ORANG,2018
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MKJP,MOW,4464,ORANG,2018
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON MKJP,KONDOM,4224,ORANG,2018
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON MKJP,LAINNYA,1684,ORANG,2018
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON MKJP,OBAT VAGINA,0,ORANG,2018
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON MKJP,PIL,79303,ORANG,2018
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NON MKJP,SUNTIK,151918,ORANG,2018
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MKJP,IMPLAN,54390,ORANG,2018
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MKJP,IUD,46637,ORANG,2018
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MKJP,MOP,2657,ORANG,2018
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MKJP,MOW,6487,ORANG,2018
23,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON MKJP,KONDOM,6591,ORANG,2018
24,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON MKJP,LAINNYA,3451,ORANG,2018
25,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON MKJP,OBAT VAGINA,0,ORANG,2018
26,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON MKJP,PIL,108076,ORANG,2018
27,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NON MKJP,SUNTIK,170203,ORANG,2018
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MKJP,IMPLAN,30478,ORANG,2018
29,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MKJP,IUD,120546,ORANG,2018
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MKJP,MOP,4341,ORANG,2018
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MKJP,MOW,17212,ORANG,2018
32,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON MKJP,KONDOM,7369,ORANG,2018
33,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON MKJP,LAINNYA,0,ORANG,2018
34,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON MKJP,OBAT VAGINA,0,ORANG,2018
35,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON MKJP,PIL,105994,ORANG,2018
36,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NON MKJP,SUNTIK,318004,ORANG,2018
37,32,JAWA BARAT,3205,KABUPATEN GARUT,MKJP,IMPLAN,47705,ORANG,2018
38,32,JAWA BARAT,3205,KABUPATEN GARUT,MKJP,IUD,57445,ORANG,2018
39,32,JAWA BARAT,3205,KABUPATEN GARUT,MKJP,MOP,2882,ORANG,2018
40,32,JAWA BARAT,3205,KABUPATEN GARUT,MKJP,MOW,7680,ORANG,2018
41,32,JAWA BARAT,3205,KABUPATEN GARUT,NON MKJP,KONDOM,3754,ORANG,2018
42,32,JAWA BARAT,3205,KABUPATEN GARUT,NON MKJP,LAINNYA,0,ORANG,2018
43,32,JAWA BARAT,3205,KABUPATEN GARUT,NON MKJP,OBAT VAGINA,0,ORANG,2018
44,32,JAWA BARAT,3205,KABUPATEN GARUT,NON MKJP,PIL,67910,ORANG,2018
45,32,JAWA BARAT,3205,KABUPATEN GARUT,NON MKJP,SUNTIK,211582,ORANG,2018
46,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MKJP,IMPLAN,16356,ORANG,2018
47,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MKJP,IUD,29015,ORANG,2018
48,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MKJP,MOP,839,ORANG,2018
49,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MKJP,MOW,5124,ORANG,2018
50,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON MKJP,KONDOM,1941,ORANG,2018
51,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON MKJP,LAINNYA,0,ORANG,2018
52,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON MKJP,OBAT VAGINA,0,ORANG,2018
53,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON MKJP,PIL,44516,ORANG,2018
54,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NON MKJP,SUNTIK,156584,ORANG,2018
55,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MKJP,IMPLAN,11680,ORANG,2018
56,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MKJP,IUD,19684,ORANG,2018
57,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MKJP,MOP,631,ORANG,2018
58,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MKJP,MOW,7878,ORANG,2018
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON MKJP,KONDOM,2674,ORANG,2018
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON MKJP,LAINNYA,0,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON MKJP,OBAT VAGINA,0,ORANG,2018
62,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON MKJP,PIL,42637,ORANG,2018
63,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NON MKJP,SUNTIK,104803,ORANG,2018
64,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MKJP,IMPLAN,16821,ORANG,2018
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MKJP,IUD,18700,ORANG,2018
66,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MKJP,MOP,294,ORANG,2018
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MKJP,MOW,9878,ORANG,2018
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,KONDOM,1178,ORANG,2018
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,LAINNYA,0,ORANG,2018
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,OBAT VAGINA,0,ORANG,2018
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,PIL,11049,ORANG,2018
72,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NON MKJP,SUNTIK,105518,ORANG,2018
73,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,IMPLAN,24680,ORANG,2018
74,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,IUD,22103,ORANG,2018
75,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,MOP,2165,ORANG,2018
76,32,JAWA BARAT,3209,KABUPATEN CIREBON,MKJP,MOW,15974,ORANG,2018
